# x_m,y_m,w_tr_right_m,w_tr_left_m
195.85,92.582,4.8536,3.9097
196.44,93.397,4.8334,3.8678
197.02,94.211,4.8127,3.8217
197.6,95.026,4.7935,3.7762
198.18,95.84,4.774,3.7323
198.75,96.655,4.7533,3.689
199.33,97.47,4.7327,3.6466
199.9,98.285,4.7132,3.6076
200.47,99.101,4.6939,3.5754
201.04,99.919,4.6761,3.5477
201.61,100.74,4.6596,3.5248
202.17,101.56,4.644,3.5084
202.74,102.38,4.6299,3.4962
203.3,103.2,4.6172,3.4888
203.85,104.02,4.6081,3.4882
204.41,104.85,4.6023,3.494
204.97,105.68,4.5965,3.5042
205.52,106.51,4.5946,3.5162
206.07,107.34,4.594,3.5278
206.62,108.17,4.5929,3.5428
207.17,109.01,4.5916,3.5591
207.72,109.85,4.5883,3.5743
208.26,110.68,4.5862,3.5864
208.81,111.53,4.5831,3.5961
209.35,112.37,4.5778,3.6038
209.89,113.21,4.5732,3.6093
210.43,114.06,4.5685,3.6133
210.97,114.9,4.5637,3.6124
211.51,115.75,4.5601,3.6049
212.04,116.6,4.5566,3.5895
212.58,117.45,4.5548,3.5655
213.11,118.3,4.5531,3.5335
213.64,119.16,4.5508,3.4989
214.17,120.01,4.55,3.4642
214.69,120.87,4.5496,3.4288
215.21,121.72,4.5506,3.3981
215.73,122.58,4.5536,3.3757
216.24,123.44,4.5578,3.3617
216.75,124.31,4.5636,3.3573
217.26,125.17,4.5708,3.3616
217.77,126.03,4.5799,3.3784
218.27,126.9,4.5899,3.4071
218.77,127.77,4.6012,3.4423
219.26,128.64,4.6133,3.4801
219.75,129.51,4.6265,3.5213
220.24,130.38,4.6411,3.5679
220.73,131.26,4.6565,3.6194
221.21,132.13,4.6724,3.6749
221.69,133.01,4.6886,3.7304
222.17,133.88,4.7044,3.7843
222.65,134.76,4.7198,3.8358
223.13,135.63,4.7336,3.8843
223.6,136.51,4.7462,3.9292
224.08,137.38,4.7585,3.9701
224.55,138.26,4.7699,4.0034
225.02,139.13,4.781,4.0291
225.5,140,4.7893,4.0503
225.97,140.87,4.795,4.0646
226.44,141.74,4.7984,4.0721
226.91,142.61,4.8012,4.0722
227.39,143.48,4.8035,4.0664
227.86,144.35,4.8077,4.0584
228.33,145.23,4.8138,4.0478
228.81,146.1,4.8186,4.0365
229.29,146.97,4.8214,4.0249
229.76,147.84,4.8231,4.0133
230.24,148.71,4.8223,4.0033
230.72,149.58,4.8203,3.9941
231.2,150.46,4.8173,3.9837
231.68,151.33,4.8139,3.9723
232.16,152.21,4.8102,3.9613
232.64,153.08,4.8058,3.9523
233.12,153.96,4.7999,3.9444
233.6,154.84,4.794,3.9381
234.08,155.71,4.789,3.9333
234.56,156.59,4.784,3.9308
235.04,157.47,4.7792,3.9297
235.52,158.35,4.7758,3.9288
236,159.23,4.7724,3.9281
236.48,160.1,4.7688,3.9259
236.96,160.98,4.7654,3.9231
237.44,161.86,4.7622,3.9205
237.92,162.74,4.7596,3.917
238.4,163.62,4.7572,3.9143
238.88,164.5,4.7555,3.9125
239.36,165.38,4.7547,3.9114
239.84,166.27,4.7532,3.9105
240.31,167.15,4.752,3.9105
240.79,168.03,4.7519,3.911
241.27,168.91,4.7511,3.9084
241.75,169.79,4.7505,3.905
242.23,170.68,4.7489,3.9005
242.71,171.56,4.7468,3.8956
243.18,172.44,4.7431,3.8909
